rf,t-statistic,p-value
ari,-11.461777651234758,8.334968840626972e-23
dale_chall,-0.28299230369363504,0.777386585972895
flesch,-10.397796553654699,4.241302966646251e-21
coleman_liau,-1.374268686239469,0.17045709799894934
flesch_kincaid,-12.725522325048457,5.427868318874348e-28
gunning_fog,-9.530294514694814,3.308362845217181e-18
linsear_write,-8.288409013703875,2.037555785590605e-14
spache,-14.128536620835268,1.0287347683727205e-34
