Formula,\overline{x_1},\overline{x_2},s_1,s_2,t-statistic,p-value
Automated Readability Index,13.54,11.85,1.54,2.96,7.3,0.0
Dale-Chall Readability Score,12.33,13.49,2.35,1.13,-6.0,0.0
Flesch Reading Ease,12.45,11.96,2.12,2.52,2.11,0.035
Coleman-Liau Index,10.63,12.14,2.75,2.45,-5.67,0.0
Flesch-Kincaid Grade Level,13.15,11.52,2.08,3.03,6.31,0.0
Gunning Fog Index,13.21,12.34,1.53,2.11,4.74,0.0
Linsear Write Formula,13.49,11.4,2.03,3.47,7.45,0.0
Spache Readability Formula,9.41,8.55,1.65,2.32,4.31,0.0
