Formula,\overline{x_1},\overline{x_2},s_1,s_2,t-statistic,p-value
Automated Readability Index,10.39,13.54,2.68,1.54,-11.46,0.0
Dale-Chall Readability Score,12.26,12.33,1.77,2.35,-0.28,0.777
Flesch Reading Ease,9.7,12.45,2.27,2.12,-10.4,0.0
Coleman-Liau Index,10.23,10.63,2.22,2.75,-1.37,0.17
Flesch-Kincaid Grade Level,9.56,13.15,2.53,2.08,-12.73,0.0
Gunning Fog Index,11.25,13.21,1.83,1.53,-9.53,0.0
Linsear Write Formula,10.92,13.49,2.89,2.03,-8.29,0.0
Spache Readability Formula,6.99,9.41,1.27,1.65,-14.13,0.0
