rf,t-statistic,p-value
ari,-2.1619868291461497,0.03204253991840477
dale_chall,-2.4019190338084635,0.017406745068984784
flesch,-2.3791883579503654,0.018479391446600234
coleman_liau,-2.564557169635597,0.011211233876906217
flesch_kincaid,-2.147037467950673,0.03323308885624716
gunning_fog,-0.9513560821666597,0.3427984967353531
linsear_write,0.2080102980351489,0.8354743874563282
spache,-6.124916447723881,6.2916022677430034e-09
