Formula,\overline{x_1},\overline{x_2},s_1,s_2,t-statistic,p-value
Automated Readability Index,9.7,11.41,3.47,2.54,-4.37,0.0
Dale-Chall Readability Score,12.33,12.64,1.79,2.02,-1.29,0.198
Flesch Reading Ease,9.81,11.25,2.59,2.28,-4.67,0.0
Coleman-Liau Index,9.99,11.45,2.81,2.1,-4.57,0.0
Flesch-Kincaid Grade Level,9.17,10.9,3.06,2.42,-4.9,0.0
Gunning Fog Index,10.85,12.31,2.25,1.6,-5.76,0.0
Linsear Write Formula,10.06,11.62,3.45,2.95,-3.84,0.0
Spache Readability Formula,6.8,7.11,1.3,1.45,-1.82,0.07
