Formula,\overline{x_1},\overline{x_2},s_1,s_2,t-statistic,p-value
Automated Readability Index,11.02,10.65,2.84,3.64,1.07,0.286
Dale-Chall Readability Score,10.98,13.58,3.18,1.05,-9.89,0.0
Flesch Reading Ease,10.09,10.59,2.94,3.06,-1.52,0.128
Coleman-Liau Index,10.34,10.48,3.26,3.52,-0.39,0.696
Flesch-Kincaid Grade Level,9.82,9.81,2.93,3.83,0.04,0.971
Gunning Fog Index,10.78,11.56,2.49,2.56,-2.86,0.005
Linsear Write Formula,10.62,8.68,3.72,4.54,4.36,0.0
Spache Readability Formula,6.93,8.33,1.42,1.86,-7.91,0.0
