rf,t-statistic,p-value
ari,-4.066331753450735,9.47487077887811e-05
dale_chall,4.314879119764749,3.729274053623454e-05
flesch,-1.4886763930450835,0.13968844548002599
coleman_liau,-1.300752186569483,0.1963032470193344
flesch_kincaid,-2.317185764417899,0.022512041397970042
gunning_fog,0.4294555047964881,0.668506524624592
linsear_write,-2.393582366881558,0.018530974625801732
spache,-1.645384733759009,0.10299922440230656
