rf,html_text,description
ari,"[9, 9, nan, nan, 13, 14, 10, 6, 14, 14, 9, 9, 10, 12, 12, 7, 14, 14, 10, 9, nan, 9, 12, 14, 12, 11, 10, nan, nan, nan, nan, nan, 14, 12, nan, 12, 14, 12, 8, nan, 12, 9, 14, 13, 13, 12, 11, nan, 11, 7, 8, 12, 12, 9, 14, 6, nan, 13, 4, 10, 7, 8, nan, 7, 5, nan, 14, 9, 13, nan, 11, nan, 14, 14, 11, 9, 13, nan, 10, 14, 14, 11, 12, nan, 14, 14, 14, 14, 14, 7, 13, 12, 10, nan, 11, 10, 8, 6, nan, 10, 12, 9, 12, nan, 10, nan, 14, nan, 12, 12, 10, 12, 13, nan, nan, 14, nan, nan, nan, 12, nan, 9, 11, 14, 14, 10, 13, 14, 14, 14, 12, 14, 14, 11, 14, nan, 12, nan, 12, 14, nan, nan, 11, 14, nan, nan, 7, nan, 14, 11, nan, nan, 14, 14, 12, 14, 11, 12, nan, 14, 8, 8, nan, 14, 14, 11, nan, 13, 14, nan, 14, 14, 11, 6, nan, nan, 5, 10, 10, nan, 9, 11, 13, 13, nan, 14, 14, 14, 14, 12, 14, 14, 14, nan, 11, 10, 14, 11, 14, 14, 10, nan, nan, 8, 8, 13, 9, 8, 8, 11, nan, 14, 14, 14, nan, 12, 14, nan, 13, 11, nan]","[14, 14, 13, 14, 8, 14, 9, 14, 13, 14, 6, 4, 7, 14, 14, 14, 14, 14, 14, 13, 12, 14, 14, 10, 9, 14, 9, 9, 13, 14, 7, 10, 11, 10, 13, 9, 14, 10, 11, 10, 14, 11, 14, 12, 10, 14, 13, 14, 14, 14, 6, 14, 14, 10, 14, 14, 13, 8, 6, 6, 9, 4, 14, 14, 12, 8, 14, 11, 14, 14, 10, 5, 14, 14, 14, 7, 14, 10, 7, 14, 14, 14, 11, 4, 14, 14, 14, 14, 14, 14, 14, 14, 7, 5, 5, 12, 8, 7, 9, 9, 8, 6, 14, 10, 14, 14, 14, 11, 14, 4, 12, 12, 8, 5, 6, 14, 14, 14, 6, 14, 14, 14, 9, 14, 14, 14, 14, 14, 14, 11, 14, 14, 8, 10, 14, 14, 14, 7, 11, 13, 14, 14, 13, 14, 14, 13, 7, 10, 11, 14, 4, 14, 14, 14, 14, 14, 14, 14, 14, 14, 9, 14, 14, 14, 14, 14, 14, 14, 11, 14, 14, 11, 6, 10, 14, 12, 10, 10, 8, 13, 14, 6, 14, 14, 11, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 11, 8, 13, 14, 14, 14, 14, 14, 14, 8, 14, 14, 10, 9, 8, 5, 14, 14, 14, 14, 12, 14, 14, 14, 14, 14]"
dale_chall,"[13, 13, nan, nan, 13, 13, 14, 14, 14, 13, 13, 14, 13, 11, 14, 13, 14, 14, 14, 13, nan, 13, 14, 14, 13, 11, 13, nan, nan, nan, nan, nan, 14, 13, nan, 13, 14, 13, 13, nan, 13, 13, 14, 14, 14, 14, 14, nan, 14, 13, 1, 14, 13, 13, 14, 14, nan, 13, 9, 11, 13, 13, nan, 13, 13, nan, 13, 14, 11, nan, 13, nan, 14, 14, 14, 14, 14, nan, 13, 13, 14, 14, 13, nan, 14, 14, 14, 14, 14, 9, 14, 14, 13, nan, 13, 13, 11, 14, nan, 13, 14, 13, 11, nan, 11, nan, 13, nan, 14, 14, 14, 13, 13, nan, nan, 13, nan, nan, nan, 14, nan, 11, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 14, nan, 14, nan, 13, 14, nan, nan, 13, 14, nan, nan, 7, nan, 14, 14, nan, nan, 14, 14, 13, 14, 13, 14, nan, 14, 11, 13, nan, 14, 13, 13, nan, 14, 13, nan, 14, 13, 14, 11, nan, nan, 11, 13, 13, nan, 14, 14, 14, 13, nan, 14, 14, 14, 14, 14, 14, 14, 14, nan, 14, 14, 14, 13, 14, 14, 13, nan, nan, 13, 13, 14, 11, 11, 11, 13, nan, 14, 14, 14, nan, 14, 14, nan, 14, 14, nan]","[14, 14, 14, 14, 11, 14, 14, 13, 14, 11, 14, 14, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 11, 14, 13, 14, 14, 14, 14, 11, 13, 14, 14, 14, 14, 14, 11, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 11, 14, 14, 9, 14, 11, 13, 13, 14, 13, 14, 13, 11, 11, 14, 14, 14, 14, 14, 14, 13, 14, 13, 13, 14, 9, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 14, 14, 13, 14, 14, 14, 9, 14, 11, 14, 14, 14, 14, 14, 14, 13, 11, 14, 14, 11, 14, 14, 14, 9, 14, 14, 14, 13, 14, 14, 14, 14, 14, 13, 14, 14, 14, 13, 13, 14, 14, 14, 11, 9, 14, 14, 14, 14, 14, 14, 11, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 11, 9, 14, 14, 14, 14, 14, 14, 14, 13, 14, 14, 13, 14, 13, 14, 14, 14, 11, 14, 13, 14, 14, 14, 14, 14, 14, 14, 14, 13, 14, 14, 14, 14, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 11, 14, 11, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]"
flesch,"[10, 10, nan, nan, 14, 10, 8, 10, 13, 13, 10, 10, 10, 13, 13, 8, 14, 14, 13, 10, nan, 10, 13, 13, 10, 10, 10, nan, nan, nan, nan, nan, 13, 13, nan, 13, 13, 10, 8, nan, 13, 10, 13, 13, 13, 13, 13, nan, 13, 8, 14, 10, 10, 10, 13, 7, nan, 13, 7, 8, 8, 8, nan, 8, 6, nan, 10, 8, 13, nan, 10, nan, 14, 13, 10, 10, 13, nan, 8, 13, 13, 10, 13, nan, 14, 13, 14, 13, 13, 8, 13, 13, 10, nan, 13, 10, 8, 8, nan, 10, 10, 10, 10, nan, 13, nan, 13, nan, 14, 13, 10, 13, 14, nan, nan, 13, nan, nan, nan, 13, nan, 10, 10, 14, 13, 13, 13, 13, 14, 13, 13, 13, 14, 10, 14, nan, 13, nan, 10, 14, nan, nan, 10, 13, nan, nan, 6, nan, 13, 13, nan, nan, 14, 14, 13, 14, 13, 10, nan, 13, 8, 8, nan, 14, 13, 10, nan, 13, 13, nan, 13, 13, 13, 8, nan, nan, 7, 13, 10, nan, 10, 6, 13, 13, nan, 14, 14, 13, 14, 13, 14, 14, 13, nan, 13, 13, 14, 13, 14, 14, 10, nan, nan, 10, 13, 13, 8, 7, 8, 10, nan, 14, 13, 14, nan, 13, 14, nan, 13, 10, nan]","[14, 14, 10, 14, 8, 13, 13, 10, 13, 13, 13, 7, 7, 14, 13, 13, 14, 14, 14, 13, 10, 14, 14, 8, 13, 13, 13, 13, 13, 14, 8, 8, 13, 10, 13, 10, 14, 8, 10, 8, 13, 13, 14, 13, 13, 14, 13, 14, 6, 14, 7, 5, 13, 8, 13, 14, 13, 10, 7, 10, 10, 6, 13, 14, 13, 8, 14, 13, 13, 14, 8, 6, 14, 14, 10, 10, 13, 8, 7, 10, 13, 13, 13, 7, 13, 13, 14, 14, 13, 14, 14, 13, 13, 8, 8, 10, 8, 8, 10, 13, 10, 7, 14, 8, 13, 14, 13, 14, 14, 8, 10, 13, 13, 8, 7, 14, 14, 14, 8, 14, 14, 14, 8, 14, 14, 14, 14, 14, 14, 13, 14, 14, 8, 10, 14, 14, 14, 10, 10, 13, 14, 14, 13, 14, 13, 10, 7, 13, 10, 14, 6, 14, 14, 14, 14, 14, 14, 14, 14, 13, 8, 13, 14, 14, 13, 14, 14, 13, 10, 13, 14, 13, 8, 8, 14, 10, 13, 10, 10, 10, 13, 8, 14, 13, 10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 10, 13, 13, 13, 14, 14, 14, 14, 8, 14, 13, 8, 8, 10, 7, 14, 14, 14, 14, 13, 13, 14, 14, 14, 14]"
coleman_liau,"[11, 11, nan, nan, 14, 11, 10, 9, 11, 14, 11, 12, 10, 10, 14, 9, 7, 14, 13, 11, nan, 9, 10, 10, 9, 10, 8, nan, nan, nan, nan, nan, 13, 12, nan, 12, 11, 10, 8, nan, 13, 11, 14, 14, 13, 14, 13, nan, 13, 7, 14, 11, 11, 10, 12, 10, nan, 14, 6, 10, 8, 9, nan, 9, 8, nan, 9, 11, 14, nan, 10, nan, 14, 14, 11, 10, 14, nan, 9, 14, 13, 10, 11, nan, 14, 14, 14, 14, 13, 10, 13, 13, 9, nan, 12, 11, 9, 9, nan, 11, 8, 11, 12, nan, 12, nan, 12, nan, 14, 11, 11, 11, 14, nan, nan, 12, nan, nan, nan, 12, nan, 11, 10, 14, 13, 13, 14, 14, 14, 13, 13, 14, 14, 12, 14, nan, 12, nan, 11, 14, nan, nan, 11, 13, nan, nan, 6, nan, 13, 11, nan, nan, 14, 14, 12, 14, 13, 11, nan, 13, 9, 10, nan, 14, 13, 13, nan, 13, 13, nan, 12, 14, 10, 8, nan, nan, 7, 11, 12, nan, 10, 14, 12, 12, nan, 14, 14, 14, 14, 13, 14, 14, 14, nan, 12, 11, 14, 13, 14, 14, 9, nan, nan, 10, 12, 13, 9, 9, 9, 12, nan, 14, 14, 14, nan, 13, 14, nan, 13, 12, nan]","[14, 14, 14, 14, 12, 9, 12, 8, 13, 10, 9, 6, 9, 13, 14, 13, 14, 14, 14, 14, 12, 14, 14, 8, 9, 11, 12, 12, 14, 14, 10, 10, 11, 12, 10, 9, 14, 9, 12, 10, 14, 14, 14, 14, 12, 14, 14, 14, 13, 14, 9, 14, 14, 10, 11, 14, 13, 10, 8, 8, 13, 6, 14, 14, 13, 9, 13, 14, 11, 14, 9, 6, 14, 14, 12, 10, 14, 12, 8, 9, 11, 12, 11, 6, 11, 14, 14, 9, 14, 14, 14, 14, 10, 8, 8, 14, 5, 11, 10, 13, 10, 9, 14, 11, 13, 14, 14, 14, 14, 7, 11, 12, 12, 8, 8, 14, 14, 14, 10, 14, 14, 14, 8, 14, 14, 14, 14, 14, 13, 14, 14, 14, 9, 11, 14, 14, 14, 10, 11, 14, 8, 14, 14, 14, 14, 8, 8, 10, 13, 14, 6, 14, 14, 14, 13, 14, 14, 14, 14, 12, 10, 14, 14, 14, 14, 14, 14, 14, 13, 12, 14, 14, 7, 11, 14, 13, 14, 10, 11, 13, 14, 9, 14, 12, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 12, 14, 14, 14, 10, 7, 14, 14, 2, 14, 14, 11, 11, 10, 6, 14, 14, 14, 14, 14, 11, 14, 14, 14, 14]"
flesch_kincaid,"[9, 9, nan, nan, 12, 12, 8, 8, 14, 14, 9, 9, 10, 11, 11, 7, 14, 14, 10, 9, nan, 10, 12, 14, 11, 10, 10, nan, nan, nan, nan, nan, 14, 11, nan, 12, 13, 10, 8, nan, 11, 9, 12, 12, 13, 12, 10, nan, 11, 8, 14, 11, 11, 9, 14, 4, nan, 11, 4, 9, 8, 8, nan, 7, 4, nan, 13, 8, 11, nan, 11, nan, 14, 14, 11, 8, 13, nan, 9, 14, 13, 10, 11, nan, 14, 14, 14, 13, 13, 7, 13, 12, 9, nan, 11, 10, 8, 7, nan, 10, 12, 9, 10, nan, 10, nan, 13, nan, 13, 11, 10, 11, 12, nan, nan, 12, nan, nan, nan, 11, nan, 9, 11, 14, 13, 11, 12, 14, 14, 14, 11, 13, 14, 10, 14, nan, 11, nan, 11, 14, nan, nan, 10, 14, nan, nan, 6, nan, 14, 11, nan, nan, 14, 14, 12, 14, 12, 11, nan, 13, 8, 8, nan, 14, 14, 10, nan, 12, 13, nan, 14, 13, 11, 7, nan, nan, 5, 11, 9, nan, 9, 5, 11, 13, nan, 14, 14, 13, 14, 12, 14, 14, 14, nan, 10, 11, 14, 11, 14, 14, 10, nan, nan, 9, 9, 13, 8, 7, 8, 10, nan, 14, 10, 14, nan, 12, 14, nan, 13, 9, nan]","[14, 14, 14, 14, 6, 14, 10, 13, 11, 14, 8, 4, 6, 14, 11, 14, 14, 14, 14, 11, 10, 14, 14, 9, 11, 14, 11, 10, 12, 14, 7, 8, 13, 10, 13, 10, 14, 9, 9, 8, 13, 11, 14, 10, 10, 13, 10, 14, 14, 14, 4, 1, 14, 9, 14, 14, 13, 8, 6, 8, 8, 4, 14, 14, 11, 7, 14, 9, 14, 14, 9, 5, 14, 14, 11, 7, 12, 8, 6, 14, 14, 14, 12, 6, 14, 14, 14, 14, 14, 14, 14, 12, 10, 5, 6, 14, 10, 6, 9, 11, 9, 4, 14, 8, 13, 14, 12, 12, 14, 7, 10, 12, 10, 6, 6, 14, 14, 14, 6, 14, 14, 14, 9, 14, 14, 14, 14, 14, 14, 11, 14, 14, 7, 10, 14, 14, 14, 8, 10, 11, 14, 14, 11, 14, 14, 12, 7, 11, 9, 14, 3, 14, 14, 14, 14, 14, 14, 14, 14, 12, 7, 14, 14, 14, 12, 14, 14, 12, 9, 12, 13, 12, 7, 8, 14, 10, 9, 10, 7, 10, 14, 6, 13, 14, 10, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 12, 7, 13, 12, 11, 14, 14, 14, 14, 11, 14, 13, 8, 8, 8, 6, 14, 14, 14, 14, 11, 14, 14, 14, 14, 14]"
gunning_fog,"[10, 10, nan, nan, 10, 14, 13, 7, 13, 13, 9, 9, 13, 14, 13, 9, 14, 14, 13, 11, nan, 12, 13, 14, 13, 13, 13, nan, nan, nan, nan, nan, 14, 13, nan, 13, 13, 13, 11, nan, 13, 11, 13, 13, 12, 13, 13, nan, 12, 10, 14, 13, 13, 11, 13, 9, nan, 13, 14, 12, 11, 10, nan, 7, 7, nan, 13, 11, 13, nan, 13, nan, 14, 13, 13, 10, 13, nan, 12, 11, 13, 12, 13, nan, 14, 13, 14, 13, 13, 10, 14, 13, 12, nan, 13, 13, 9, 8, nan, 13, 13, 11, 13, nan, 10, nan, 13, nan, 14, 13, 11, 13, 10, nan, nan, 13, nan, nan, nan, 13, nan, 10, 13, 14, 13, 13, 13, 14, 14, 13, 13, 13, 14, 12, 13, nan, 13, nan, 13, 9, nan, nan, 13, 14, nan, nan, 9, nan, 13, 13, nan, nan, 14, 14, 13, 14, 13, 13, nan, 13, 10, 10, nan, 14, 14, 13, nan, 13, 14, nan, 14, 13, 13, 10, nan, nan, 9, 13, 11, nan, 13, 8, 13, 13, nan, 14, 14, 13, 14, 13, 14, 14, 13, nan, 12, 13, 14, 13, 13, 13, 13, nan, nan, 8, 12, 14, 10, 10, 10, 11, nan, 14, 6, 14, nan, 13, 14, nan, 12, 11, nan]","[14, 14, 14, 13, 7, 13, 7, 13, 11, 13, 7, 14, 7, 14, 13, 14, 14, 14, 12, 11, 13, 13, 13, 13, 12, 13, 11, 7, 12, 10, 10, 8, 14, 13, 14, 13, 14, 10, 12, 9, 13, 13, 13, 13, 11, 13, 13, 13, 14, 8, 14, 14, 13, 12, 13, 14, 13, 12, 7, 12, 10, 7, 14, 12, 11, 7, 14, 10, 14, 14, 11, 6, 14, 14, 12, 10, 13, 9, 9, 13, 14, 13, 11, 8, 14, 13, 14, 14, 13, 14, 14, 14, 12, 14, 11, 14, 10, 14, 13, 9, 10, 14, 13, 11, 13, 14, 14, 10, 14, 14, 11, 13, 6, 14, 6, 14, 14, 14, 14, 13, 10, 14, 10, 14, 14, 14, 14, 13, 14, 13, 14, 10, 8, 11, 13, 13, 14, 10, 13, 9, 14, 14, 13, 14, 13, 14, 9, 13, 10, 14, 14, 14, 14, 14, 14, 14, 13, 13, 14, 13, 9, 13, 14, 14, 14, 14, 14, 12, 13, 13, 13, 13, 11, 12, 7, 10, 13, 13, 8, 13, 11, 14, 12, 14, 12, 14, 14, 14, 14, 13, 14, 14, 14, 14, 13, 13, 14, 13, 13, 12, 14, 14, 14, 14, 13, 14, 13, 10, 6, 11, 9, 14, 11, 14, 13, 11, 13, 14, 14, 14, 14]"
linsear_write,"[7, 7, nan, nan, 8, 14, 12, 6, 14, 14, 8, 8, 12, 14, 10, 6, 14, 14, 8, 9, nan, 12, 14, 14, 14, 12, 13, nan, nan, nan, nan, nan, 14, 12, nan, 14, 14, 13, 11, nan, 12, 8, 13, 12, 14, 12, 11, nan, 11, 10, 0, 13, 14, 10, 14, 4, nan, 12, 2, 11, 9, 9, nan, 7, 4, nan, 14, 9, 12, nan, 13, nan, 14, 14, 13, 8, 13, nan, 12, 14, 14, 13, 14, nan, 14, 14, 14, 14, 14, 6, 14, 13, 12, nan, 13, 12, 8, 6, nan, 12, 14, 8, 12, nan, 8, nan, 14, nan, 11, 14, 11, 13, 8, nan, nan, 14, nan, nan, nan, 13, nan, 8, 13, 0, 14, 10, 13, 14, 14, 14, 13, 14, 14, 11, 14, nan, 13, nan, 14, 8, nan, nan, 12, 14, nan, nan, 9, nan, 14, 12, nan, nan, 14, 14, 13, 14, 11, 12, nan, 14, 8, 7, nan, 14, 14, 11, nan, 14, 14, nan, 14, 13, 14, 7, nan, nan, 6, 13, 8, nan, 9, 6, 13, 14, nan, 14, 14, 14, 14, 12, 14, 14, 14, nan, 11, 11, 14, 11, 14, 14, 13, nan, nan, 8, 6, 14, 9, 9, 8, 11, nan, 14, 7, 14, nan, 13, 14, nan, 14, 12, nan]","[14, 14, 14, 14, 5, 14, 8, 14, 12, 14, 3, 3, 7, 14, 12, 14, 14, 14, 14, 12, 13, 14, 14, 13, 13, 14, 9, 7, 13, 14, 6, 10, 14, 10, 14, 12, 14, 11, 10, 9, 12, 5, 14, 8, 8, 9, 8, 14, 14, 14, 3, 0, 14, 12, 14, 14, 14, 8, 6, 8, 5, 6, 14, 14, 12, 8, 14, 7, 14, 14, 11, 6, 14, 14, 14, 6, 12, 8, 8, 14, 14, 14, 13, 4, 14, 14, 14, 14, 14, 14, 14, 14, 7, 2, 5, 14, 14, 3, 11, 6, 8, 4, 14, 9, 14, 11, 14, 8, 12, 6, 12, 13, 6, 3, 6, 14, 14, 14, 3, 14, 14, 14, 10, 14, 14, 14, 13, 11, 14, 7, 14, 14, 8, 10, 13, 14, 14, 7, 12, 8, 14, 14, 10, 14, 14, 14, 8, 13, 11, 14, 2, 14, 14, 14, 14, 14, 14, 13, 14, 14, 7, 14, 14, 14, 12, 14, 14, 12, 12, 14, 13, 11, 8, 11, 12, 12, 6, 12, 6, 12, 14, 3, 13, 14, 9, 14, 14, 14, 14, 13, 14, 14, 14, 14, 14, 10, 4, 12, 12, 8, 14, 14, 14, 14, 14, 14, 14, 9, 7, 8, 7, 14, 12, 14, 14, 11, 14, 14, 14, 14, 14]"
spache,"[6, 6, nan, nan, 7, 7, 7, 7, 9, 9, 6, 7, 7, 6, 7, 7, 14, 9, 7, 7, nan, 6, 8, 8, 7, 7, 7, nan, nan, nan, nan, nan, 8, 7, nan, 7, 8, 7, 7, nan, 7, 7, 7, 7, 8, 7, 7, nan, 7, 6, 1, 7, 7, 6, 9, 7, nan, 7, 4, 6, 7, 6, nan, 6, 6, nan, 8, 7, 7, nan, 7, nan, 14, 8, 7, 6, 7, nan, 7, 8, 8, 7, 7, nan, 8, 11, 8, 8, 8, 5, 8, 7, 7, nan, 7, 7, 6, 7, nan, 7, 9, 6, 6, nan, 6, nan, 7, nan, 7, 7, 7, 7, 7, nan, nan, 7, nan, nan, nan, 7, nan, 6, 7, 5, 8, 7, 7, 8, 9, 9, 7, 8, 9, 7, 8, nan, 7, nan, 7, 8, nan, nan, 7, 8, nan, nan, 6, nan, 9, 7, nan, nan, 7, 8, 6, 8, 7, 8, nan, 9, 6, 6, nan, 11, 8, 6, nan, 7, 8, nan, 9, 7, 8, 5, nan, nan, 6, 6, 6, nan, 7, 8, 8, 7, nan, 7, 9, 8, 8, 7, 9, 9, 8, nan, 7, 8, 14, 7, 10, 10, 7, nan, nan, 6, 6, 8, 6, 6, 6, 7, nan, 10, 9, 9, nan, 8, 11, nan, 8, 8, nan]","[13, 13, 12, 8, 6, 10, 8, 9, 8, 8, 7, 6, 6, 13, 7, 14, 13, 10, 9, 8, 8, 14, 7, 7, 8, 7, 8, 7, 9, 10, 5, 7, 7, 8, 8, 7, 14, 7, 6, 7, 8, 8, 11, 8, 7, 7, 7, 10, 14, 11, 7, 8, 9, 7, 9, 13, 8, 6, 6, 6, 7, 5, 8, 8, 7, 6, 10, 6, 8, 9, 7, 5, 14, 8, 9, 7, 7, 9, 6, 10, 10, 8, 8, 5, 8, 8, 12, 14, 8, 12, 14, 7, 7, 8, 7, 11, 7, 7, 7, 7, 7, 5, 8, 6, 9, 8, 8, 7, 9, 7, 7, 7, 9, 8, 7, 12, 8, 14, 5, 10, 10, 14, 7, 13, 12, 8, 7, 7, 8, 7, 8, 9, 7, 6, 8, 9, 9, 6, 6, 7, 14, 8, 7, 8, 12, 7, 7, 7, 7, 7, 7, 8, 9, 11, 13, 11, 14, 9, 8, 7, 6, 9, 14, 14, 7, 8, 8, 7, 7, 8, 7, 6, 6, 6, 9, 8, 6, 6, 6, 7, 11, 8, 8, 8, 9, 8, 11, 10, 8, 8, 8, 9, 9, 9, 8, 8, 8, 8, 7, 8, 9, 14, 14, 14, 9, 11, 9, 6, 7, 5, 7, 13, 8, 9, 8, 8, 12, 10, 12, 10, 9]"
smog,"[nan, nan, nan, nan, nan, nan, nan, nan, 14, nan, nan, 13, 13, nan, nan, 10, nan, nan, nan, 12, nan, 13, 14, 14, 13, 13, 13, nan, nan, nan, nan, nan, nan, 13, nan, 14, 14, 12, 11, nan, 13, 12, 14, 14, nan, 14, 14, nan, nan, 11, nan, 13, 14, 12, 14, nan, nan, nan, nan, 12, 11, 11, nan, nan, nan, nan, 13, nan, nan, nan, 12, nan, nan, nan, 14, nan, 14, nan, 11, nan, nan, 13, nan, nan, 14, 14, nan, nan, 14, nan, nan, nan, 13, nan, 14, 13, nan, nan, nan, 13, nan, 12, 13, nan, nan, nan, 14, nan, nan, 13, nan, 13, nan, nan, nan, 14, nan, nan, nan, 13, nan, 12, 13, nan, 14, nan, 14, 14, 14, 14, 14, 14, 14, 13, 14, nan, nan, nan, 14, nan, nan, nan, 13, 14, nan, nan, nan, nan, 14, 14, nan, nan, 14, 14, nan, 14, 14, nan, nan, 14, 11, 11, nan, nan, 14, 13, nan, 14, 14, nan, 14, nan, 14, nan, nan, nan, nan, nan, nan, nan, 12, nan, 14, 14, nan, 14, nan, nan, 14, 14, nan, nan, 14, nan, 13, 14, nan, nan, nan, nan, 14, nan, nan, nan, nan, nan, 11, 11, 10, 12, nan, nan, nan, nan, nan, 14, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
