rf,html_text,description
ari,"[12, 11, 14, nan, 13, 6, 12, nan, 3, 3, 14, 14, 8, nan, 13, 8, nan, 14, 14, 13, nan, nan, nan, 6, 9, nan, nan, nan, nan, 14, 14, 12, 12, 3, 5, nan, nan, nan, 14, 10, 9, 12, 7, nan, 9, nan, 8, 12, nan, 6, nan, 4, nan, nan, 14, 14, 12, nan, nan, 11, 13, 12, 14, nan, 10, nan, 10, nan, 14, 6, 9, 4, 5, 7, 5, nan, 7, nan, nan, 11, nan, nan, 7, 14, 8, 12, nan, 7, 7, nan, 8, 6, 6, 5, 9, nan, nan, nan, nan, 8, nan, nan, 8, 5, nan, 14, 13, nan, 11, nan, 11, nan, 12, nan, 13, nan, 7, 7, 10, nan, nan, nan, 12, nan, 13, 13, 12, 10, nan, nan, 5, 4, 4, 8, 4, 13, 3, nan, nan, 13, 12, 12, 7, 3, 7, nan, 9, 14, 10, 14, 14, 14, nan, 13, 12, nan, 10, 12, 5, 14, 12, 6, nan, nan, nan, nan, 11, nan, 8, nan]","[12, 10, 9, 14, 7, 10, 9, 12, 14, 14, 14, 12, 10, 11, 14, 12, 7, 8, 8, 13, 9, 13, 8, 8, 13, 6, 11, 7, 7, 14, 10, 13, 12, 14, 9, 9, 11, 12, 11, 14, 13, 10, 14, 11, 14, 9, 12, 8, 12, nan, 13, 12, 11, 11, 11, 12, 14, 13, 13, nan, nan, 14, 12, 14, 12, 14, 9, 13, 14, 14, 11, 14, 14, 11, 12, 14, 13, 8, 13, 7, 9, 9, 14, 9, 11, 8, 14, nan, nan, 10, 9, 12, 11, 9, 10, 3, 8, 5, 1, 12, 3, 9, 9, 11, 13, 14, 14, 8, 14, 14, 14, 12, 10, 14, 13, 3, 11, 11, 13, 8, 14, 13, 12, 10, 13, 14, 13, 12, 13, 14, 8, 7, 12, 7, 9, 4, 13, 4, nan, nan, 14, 14, 8, 9, 11, 14, 8, 10, 8, 6, 14, 14, nan, 14, 13, 13, nan, 12, 11, 14, 14, 6, 11, 14, 13, 8, 14, 14, 12, 10]"
dale_chall,"[13, 13, 14, nan, 13, 7, 11, nan, 9, 9, 13, 14, 11, nan, 14, 13, nan, 14, 14, 13, nan, nan, nan, 14, 13, nan, nan, nan, nan, 13, 13, 14, 13, 9, 13, nan, nan, nan, 11, 11, 9, 13, 13, nan, 11, nan, 11, 14, nan, 11, nan, 11, nan, nan, 14, 14, 13, nan, nan, 14, 14, 14, 14, nan, 13, nan, 13, nan, 14, 9, 11, 11, 13, 13, 9, nan, 11, nan, nan, 14, nan, nan, 11, 13, 11, 11, nan, 14, 14, nan, 9, 14, 9, 9, 7, nan, nan, nan, nan, 13, nan, nan, 13, 7, nan, 14, 14, nan, 11, nan, 11, nan, 14, nan, 14, nan, 13, 13, 13, nan, nan, nan, 13, nan, 13, 13, 11, 14, nan, nan, 13, 11, 11, 9, 11, 13, 11, nan, nan, 13, 14, 14, 13, 14, 14, nan, 14, 14, 13, 13, 14, 13, nan, 14, 13, nan, 13, 13, 11, 14, 13, 11, nan, nan, nan, nan, 13, nan, 11, nan]","[9, 11, 7, 11, 7, 9, 7, 11, 9, 9, 11, 9, 11, 7, 14, 13, 9, 13, 13, 11, 7, 14, 11, 7, 11, 7, 14, 9, 9, 11, 13, 13, 11, 9, 7, 9, 11, 11, 7, 14, 9, 11, 11, 7, 14, 7, 13, 9, 13, nan, 13, 7, 14, 9, 11, 13, 14, 14, 9, nan, nan, 14, 13, 14, 13, 13, 7, 13, 14, 9, 7, 14, 13, 7, 11, 5, 14, 14, 9, 9, 13, 7, 14, 14, 1, 9, 14, nan, nan, 13, 1, 11, 1, 9, 7, 1, 14, 14, 9, 14, 7, 14, 14, 11, 14, 14, 14, 14, 13, 13, 14, 11, 9, 14, 11, 1, 11, 11, 9, 5, 13, 11, 11, 7, 7, 13, 14, 13, 11, 14, 14, 5, 14, 9, 11, 7, 14, 9, nan, nan, 14, 14, 11, 14, 14, 14, 14, 14, 14, 9, 14, 14, nan, 14, 14, 14, nan, 14, 9, 13, 14, 7, 13, 14, 13, 11, 11, 14, 14, 14]"
flesch,"[10, 10, 13, nan, 10, 7, 10, nan, 6, 6, 13, 13, 8, nan, 13, 8, nan, 14, 14, 13, nan, nan, nan, 8, 8, nan, nan, nan, nan, 13, 10, 13, 10, 6, 8, nan, nan, nan, 13, 8, 8, 10, 7, nan, 8, nan, 8, 8, nan, 7, nan, 7, nan, nan, 13, 13, 10, nan, nan, 13, 13, 13, 13, nan, 10, nan, 8, nan, 14, 7, 8, 7, 8, 8, 7, nan, 7, nan, nan, 10, nan, nan, 8, 13, 8, 10, nan, 14, 14, nan, 7, 7, 7, 7, 6, nan, nan, nan, nan, 8, nan, nan, 8, 7, nan, 13, 10, nan, 10, nan, 8, nan, 10, nan, 13, nan, 8, 8, 8, nan, nan, nan, 14, nan, 13, 13, 10, 10, nan, nan, 7, 7, 7, 8, 7, 13, 6, nan, nan, 10, 13, 13, 7, 7, 8, nan, 8, 13, 10, 10, 13, 13, nan, 13, 10, nan, 10, 14, 7, 13, 10, 7, nan, nan, nan, nan, 10, nan, 13, nan]","[8, 8, 7, 14, 6, 7, 7, 10, 6, 6, 13, 10, 8, 8, 13, 8, 8, 13, 13, 13, 7, 14, 7, 6, 13, 6, 10, 8, 8, 13, 10, 13, 8, 6, 7, 7, 8, 8, 8, 14, 8, 7, 14, 7, 14, 6, 8, 10, 7, nan, 8, 8, 8, 8, 13, 13, 10, 13, 10, nan, nan, 14, 13, 14, 10, 13, 8, 13, 14, 13, 8, 13, 14, 10, 13, 13, 13, 8, 7, 10, 7, 8, 14, 7, 8, 6, 13, nan, nan, 7, 7, 6, 7, 6, 7, 14, 8, 13, 14, 13, 5, 8, 13, 8, 13, 14, 14, 13, 13, 14, 13, 13, 7, 14, 13, 14, 7, 7, 10, 6, 13, 10, 13, 7, 13, 13, 14, 10, 10, 14, 8, 6, 8, 7, 8, 6, 8, 7, nan, nan, 13, 13, 7, 8, 13, 14, 10, 10, 8, 7, 14, 10, nan, 14, 13, 14, nan, 10, 10, 10, 14, 5, 13, 10, 10, 7, 14, 14, 13, 8]"
coleman_liau,"[10, 12, 9, nan, 11, 8, 10, nan, 4, 4, 14, 9, 9, nan, 12, 10, nan, 14, 14, 13, nan, nan, nan, 10, 9, nan, nan, nan, nan, 14, 9, 12, 13, 4, 7, nan, nan, nan, 10, 10, 9, 11, 7, nan, 10, nan, 10, 14, nan, 7, nan, 5, nan, nan, 14, 14, 11, nan, nan, 12, 13, 11, 12, nan, 12, nan, 9, nan, 14, 7, 9, 6, 8, 9, 7, nan, 8, nan, nan, 14, nan, nan, 7, 12, 8, 11, nan, 9, 9, nan, 8, 9, 6, 6, 5, nan, nan, nan, nan, 10, nan, nan, 6, 8, nan, 14, 14, nan, 13, nan, 10, nan, 12, nan, 14, nan, 10, 10, 10, nan, nan, nan, 14, nan, 12, 11, 11, 11, nan, nan, 6, 5, 6, 8, 6, 12, 5, nan, nan, 11, 13, 13, 8, 5, 9, nan, 9, 14, 10, 11, 14, 12, nan, 14, 11, nan, 11, 14, 6, 12, 11, 7, nan, nan, nan, nan, 11, nan, 11, nan]","[10, 8, 9, 14, 5, 7, 5, 12, 3, 3, 12, 12, 11, 8, 13, 10, 9, 8, 8, 11, 10, 14, 8, 5, 14, 4, 10, 9, 9, 14, 10, 14, 10, 3, 6, 8, 6, 9, 10, 14, 12, 9, 14, 6, 14, 8, 13, 11, 14, nan, 11, 8, 11, 8, 11, 11, 13, 14, 9, nan, nan, 14, 13, 14, 12, 13, 7, 9, 14, 14, 12, 13, 14, 10, 12, 14, 14, 11, 8, 10, 12, 8, 14, 8, 9, 8, 14, nan, nan, 6, 5, 7, 5, 3, 5, 2, 11, 6, 3, 14, 4, 10, 11, 9, 14, 14, 14, 5, 13, 14, 14, 10, 10, 14, 12, 14, 10, 10, 13, 10, 14, 12, 12, 12, 12, 12, 14, 10, 12, 14, 11, 9, 14, 7, 10, 5, 11, 4, nan, nan, 14, 14, 6, 7, 11, 14, 10, 9, 6, 5, 14, 14, nan, 14, 13, 14, nan, 13, 10, 12, 14, 5, 11, 14, 12, 10, 14, 14, 11, 9]"
flesch_kincaid,"[11, 10, 14, nan, 12, 6, 11, nan, 4, 4, 14, 14, 7, nan, 12, 8, nan, 14, 14, 12, nan, nan, nan, 6, 8, nan, nan, nan, nan, 14, 13, 11, 10, 4, 7, nan, nan, nan, 14, 9, 8, 10, 7, nan, 8, nan, 7, 6, nan, 6, nan, 6, nan, nan, 12, 14, 11, nan, nan, 11, 12, 12, 13, nan, 9, nan, 9, nan, 14, 7, 9, 5, 6, 7, 5, nan, 7, nan, nan, 8, nan, nan, 8, 13, 8, 10, nan, 1, 1, nan, 7, 5, 6, 6, 7, nan, nan, nan, nan, 8, nan, nan, 9, 5, nan, 14, 10, nan, 9, nan, 9, nan, 10, nan, 12, nan, 7, 7, 9, nan, nan, nan, 13, nan, 12, 12, 11, 9, nan, nan, 6, 5, 6, 8, 6, 11, 5, nan, nan, 11, 10, 10, 7, 6, 8, nan, 9, 13, 10, 12, 13, 14, nan, 12, 11, nan, 9, 13, 6, 12, 11, 7, nan, nan, nan, nan, 9, nan, 9, nan]","[10, 9, 8, 14, 7, 8, 9, 10, 4, 4, 12, 10, 8, 9, 13, 10, 6, 12, 12, 12, 7, 14, 7, 6, 13, 7, 10, 6, 6, 13, 10, 12, 9, 4, 8, 7, 11, 9, 8, 14, 10, 7, 14, 9, 14, 7, 9, 8, 7, nan, 10, 10, 8, 10, 11, 11, 11, 11, 12, nan, nan, 14, 12, 14, 11, 14, 9, 14, 14, 13, 8, 12, 14, 10, 11, 10, 11, 7, 9, 7, 6, 9, 14, 7, 10, 5, 12, nan, nan, 9, 8, 9, 9, 8, 9, 2, 7, 10, 1, 10, 3, 8, 10, 10, 12, 14, 14, 9, 13, 14, 12, 13, 7, 14, 12, 14, 7, 7, 10, 5, 14, 10, 11, 7, 11, 12, 14, 10, 10, 14, 8, 4, 8, 7, 7, 4, 10, 6, nan, nan, 13, 13, 8, 9, 11, 13, 8, 10, 9, 8, 14, 10, nan, 14, 13, 13, nan, 10, 10, 11, 14, 4, 12, 9, 10, 6, 14, 14, 11, 9]"
gunning_fog,"[13, 12, 14, nan, 13, 9, 13, nan, 8, 8, 11, 13, 10, nan, 13, 10, nan, 13, 13, 13, nan, nan, nan, 14, 11, nan, nan, nan, nan, 11, 13, 13, 13, 8, 9, nan, nan, nan, 14, 10, 10, 12, 10, nan, 10, nan, 10, 8, nan, 9, nan, 8, nan, nan, 13, 9, 13, nan, nan, 12, 13, 13, 13, nan, 11, nan, 10, nan, 13, 9, 10, 8, 7, 9, 7, nan, 10, nan, nan, 6, nan, nan, 10, 13, 10, 11, nan, 6, 6, nan, 9, 14, 9, 8, 10, nan, nan, nan, nan, 10, nan, nan, 11, 14, nan, 14, 11, nan, 9, nan, 11, nan, 11, nan, 13, nan, 8, 8, 12, nan, nan, nan, 14, nan, 13, 13, 13, 10, nan, nan, 9, 7, 8, 10, 8, 13, 7, nan, nan, 13, 12, 12, 8, 6, 9, nan, 11, 13, 13, 13, 13, 13, nan, 13, 13, nan, 11, 14, 9, 13, 13, 9, nan, nan, nan, nan, 12, nan, 12, nan]","[9, 12, 9, 8, 8, 9, 13, 10, 8, 8, 13, 10, 11, 11, 13, 11, 8, 12, 12, 12, 8, 14, 9, 9, 12, 10, 8, 8, 8, 13, 13, 13, 11, 8, 11, 10, 12, 13, 12, 14, 8, 9, 9, 13, 14, 8, 12, 13, 6, nan, 10, 10, 12, 13, 13, 8, 11, 6, 13, nan, nan, 13, 7, 13, 8, 12, 8, 12, 12, 13, 11, 13, 13, 12, 12, 13, 13, 14, 12, 14, 14, 12, 14, 9, 11, 9, 6, nan, nan, 10, 10, 11, 12, 11, 11, 6, 14, 14, 14, 12, 14, 9, 11, 11, 8, 13, 11, 14, 8, 13, 6, 11, 7, 11, 14, 14, 8, 8, 12, 14, 14, 13, 13, 9, 10, 13, 14, 9, 13, 14, 14, 14, 14, 9, 9, 14, 9, 6, nan, nan, 13, 13, 8, 8, 7, 6, 8, 12, 12, 8, 6, 7, nan, 14, 8, 8, nan, 13, 10, 13, 6, 7, 13, 8, 8, 6, 12, 14, 12, 12]"
linsear_write,"[14, 11, 14, nan, 14, 6, 14, nan, 6, 6, 14, 14, 8, nan, 14, 8, nan, 12, 12, 14, nan, nan, nan, 5, 11, nan, nan, nan, nan, 14, 14, 13, 12, 6, 6, nan, nan, nan, 14, 10, 9, 13, 9, nan, 10, nan, 6, 4, nan, 7, nan, 7, nan, nan, 13, 14, 14, nan, nan, 12, 14, 14, 14, nan, 8, nan, 12, nan, 14, 8, 10, 5, 4, 7, 6, nan, 8, nan, nan, 6, nan, nan, 10, 14, 11, 12, nan, 6, 6, nan, 10, 6, 8, 8, 12, nan, nan, nan, nan, 8, nan, nan, 13, 3, nan, 14, 11, nan, 8, nan, 12, nan, 12, nan, 11, nan, 6, 6, 12, nan, nan, nan, 2, nan, 14, 14, 14, 11, nan, nan, 8, 6, 6, 9, 6, 13, 5, nan, nan, 14, 11, 11, 8, 6, 7, nan, 10, 14, 12, 14, 14, 14, nan, 13, 14, nan, 10, 2, 8, 14, 14, 7, nan, nan, nan, nan, 12, nan, 6, nan]","[14, 13, 9, 14, 9, 11, 14, 12, 5, 5, 14, 11, 8, 13, 14, 13, 5, 12, 12, 14, 7, 12, 9, 11, 14, 11, 14, 5, 5, 14, 12, 12, 12, 5, 12, 10, 14, 14, 12, 0, 14, 9, 14, 14, 0, 9, 12, 5, 6, nan, 14, 12, 10, 14, 13, 14, 14, 8, 14, nan, nan, 14, 13, 12, 13, 14, 12, 14, 14, 14, 11, 14, 14, 13, 12, 11, 11, 5, 14, 4, 6, 12, 0, 11, 14, 8, 9, nan, nan, 13, 13, 14, 14, 14, 14, 6, 5, 2, 4, 8, 5, 9, 9, 14, 9, 14, 12, 1, 14, 14, 9, 13, 8, 11, 14, 0, 9, 9, 12, 6, 14, 14, 12, 8, 12, 14, 14, 14, 14, 14, 6, 6, 6, 8, 9, 6, 13, 6, nan, nan, 13, 13, 12, 12, 11, 12, 8, 12, 12, 10, 14, 12, nan, 0, 13, 8, nan, 12, 14, 14, 14, 8, 14, 8, 12, 7, 14, 4, 14, 12]"
spache,"[7, 7, 9, nan, 7, 5, 7, nan, 6, 6, 8, 9, 6, nan, 8, 6, nan, 8, 8, 7, nan, nan, nan, 9, 7, nan, nan, nan, nan, 8, 8, 8, 7, 6, 6, nan, nan, nan, 8, 7, 6, 7, 6, nan, 6, nan, 6, 7, nan, 5, nan, 5, nan, nan, 11, 10, 7, nan, nan, 7, 8, 8, 8, nan, 7, nan, 7, nan, 9, 5, 7, 5, 6, 6, 5, nan, 6, nan, nan, 7, nan, nan, 6, 8, 6, 7, nan, 10, 10, nan, 6, 6, 5, 5, 6, nan, nan, nan, nan, 7, nan, nan, 7, 5, nan, 9, 8, nan, 6, nan, 6, nan, 7, nan, 6, nan, 6, 6, 7, nan, nan, nan, 4, nan, 7, 7, 7, 7, nan, nan, 5, 5, 5, 6, 5, 8, 5, nan, nan, 7, 7, 7, 6, 7, 7, nan, 7, 8, 7, 8, 8, 8, nan, 7, 7, nan, 6, 4, 5, 8, 7, 6, nan, nan, nan, nan, 7, nan, 6, nan]","[6, 6, 5, 8, 5, 7, 6, 8, 6, 6, 6, 5, 5, 5, 8, 8, 6, 8, 8, 7, 4, 8, 5, 6, 8, 5, 9, 6, 6, 7, 6, 8, 6, 6, 6, 6, 7, 7, 6, 10, 7, 5, 8, 6, 10, 5, 7, 6, 7, nan, 7, 8, 6, 7, 6, 8, 8, 8, 7, nan, nan, 10, 8, 8, 8, 8, 6, 8, 9, 7, 6, 8, 8, 7, 6, 6, 9, 7, 7, 6, 7, 5, 10, 8, 5, 5, 8, nan, nan, 8, 5, 7, 6, 6, 6, 4, 7, 8, 5, 9, 5, 7, 8, 8, 9, 9, 8, 10, 7, 7, 7, 7, 6, 9, 7, 1, 7, 7, 7, 4, 7, 7, 6, 6, 5, 7, 8, 7, 7, 8, 8, 5, 9, 6, 6, 5, 9, 6, nan, nan, 8, 8, 5, 8, 8, 8, 6, 7, 7, 6, 8, 7, nan, 10, 9, 6, nan, 7, 6, 7, 9, 5, 7, 9, 8, 6, 7, 7, 9, 8]"
smog,"[14, 13, nan, nan, 13, nan, 13, nan, nan, nan, nan, nan, nan, nan, 14, 11, nan, nan, nan, nan, nan, nan, nan, nan, 12, nan, nan, nan, nan, nan, 14, 14, nan, nan, nan, nan, nan, nan, nan, 11, 10, 12, nan, nan, 11, nan, 10, nan, nan, 10, nan, 8, nan, nan, nan, nan, 14, nan, nan, 14, nan, nan, 14, nan, nan, nan, 12, nan, nan, 10, 10, 9, 9, 11, 9, nan, nan, nan, nan, nan, nan, nan, 11, 14, 11, 12, nan, nan, nan, nan, 9, nan, 9, 9, nan, nan, nan, nan, nan, 11, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 12, nan, nan, nan, nan, nan, nan, nan, 12, nan, nan, nan, nan, nan, 14, 14, nan, 12, nan, nan, 10, 9, 9, 10, 9, nan, 9, nan, nan, 14, nan, nan, 10, nan, 10, nan, nan, nan, 13, 14, 14, 14, nan, 14, 13, nan, 13, nan, 10, 14, 13, 10, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
